counts,revenue,meter_expired,outside_lines,off_str,fine_$63,fine_$58,single_type,flat,tod,jump
12,756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
12,756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
246,15498.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
19,1197.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
246,15498.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
28,1624.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
245,15435.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
21,1323.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
245,15435.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20,1160.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
17,1071.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
245,15435.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
58,3654.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
36,2268.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
15,945.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
245,15435.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
56,3528.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
245,15435.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
38,2394.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
11,693.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
244,15372.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
32,2016.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
